Province,City,Year,pmtwofive
Seoul,Seoul,2015,23.2
Seoul,Seoul,2016,26.1
Seoul,Seoul,2017,24.5
Seoul,Seoul,2018,23
Seoul,Seoul,2019,24.8
Seoul,Seoul,2020,24.4
Busan,Busan,2015,25.6
Busan,Busan,2016,26.8
Busan,Busan,2017,25.6
Busan,Busan,2018,23.2
Busan,Busan,2019,21.3
Busan,Busan,2020,18.6
Daegu,Daegu,2015,25.4
Daegu,Daegu,2016,24.5
Daegu,Daegu,2017,22.8
Daegu,Daegu,2018,22.3
Daegu,Daegu,2019,22.5
Daegu,Daegu,2020,22
Incheon,Incheon,2015,29.2
Incheon,Incheon,2016,26.4
Incheon,Incheon,2017,25
Incheon,Incheon,2018,22.3
Incheon,Incheon,2019,23.3
Incheon,Incheon,2020,20.4
Gwangju,Gwangju,2015,26
Gwangju,Gwangju,2016,23.4
Gwangju,Gwangju,2017,24.2
Gwangju,Gwangju,2018,24
Gwangju,Gwangju,2019,23.5
Gwangju,Gwangju,2020,20.2
Daejeon,Daejeon,2015,28.3
Daejeon,Daejeon,2016,22.5
Daejeon,Daejeon,2017,21.1
Daejeon,Daejeon,2018,21.7
Daejeon,Daejeon,2019,22.3
Daejeon,Daejeon,2020,20.2
Ulsan,Ulsan,2015,24.7
Ulsan,Ulsan,2016,23.2
Ulsan,Ulsan,2017,24.8
Ulsan,Ulsan,2018,23.2
Ulsan,Ulsan,2019,20.3
Ulsan,Ulsan,2020,18.2
Sejong,Sejong,2015,0
Sejong,Sejong,2016,23.4
Sejong,Sejong,2017,22.8
Sejong,Sejong,2018,21.5
Sejong,Sejong,2019,25.8
Sejong,Sejong,2020,22.8
Gyeonggi-do,Yongin,2015,0
Gyeonggi-do,Yongin,2016,25.8
Gyeonggi-do,Yongin,2017,28.3
Gyeonggi-do,Yongin,2018,24.8
Gyeonggi-do,Yongin,2019,26.3
Gyeonggi-do,Yongin,2020,26.6
Gangwon-do,Chuncheon,2015,26.3
Gangwon-do,Chuncheon,2016,27
Gangwon-do,Chuncheon,2017,24.5
Gangwon-do,Chuncheon,2018,21.5
Gangwon-do,Chuncheon,2019,21.6
Gangwon-do,Chuncheon,2020,24.2
Gangwon-do,Wonju,2015,33.3
Gangwon-do,Wonju,2016,35.2
Gangwon-do,Wonju,2017,31.8
Gangwon-do,Wonju,2018,28.6
Gangwon-do,Wonju,2019,26.4
Gangwon-do,Wonju,2020,23.8
Chungcheongbuk-do,Cheongju,2015,28
Chungcheongbuk-do,Cheongju,2016,28.8
Chungcheongbuk-do,Cheongju,2017,28.6
Chungcheongbuk-do,Cheongju,2018,28.8
Chungcheongbuk-do,Cheongju,2019,28.5
Chungcheongbuk-do,Cheongju,2020,26.2
Chungcheongnam-do,Cheonan,2015,30.6
Chungcheongnam-do,Cheonan,2016,27.3
Chungcheongnam-do,Cheonan,2017,28
Chungcheongnam-do,Cheonan,2018,24.9
Chungcheongnam-do,Cheonan,2019,28.5
Chungcheongnam-do,Cheonan,2020,26.8
Jeollabuk-do,Jeonju,2015,0
Jeollabuk-do,Jeonju,2016,32.4
Jeollabuk-do,Jeonju,2017,25.2
Jeollabuk-do,Jeonju,2018,24
Jeollabuk-do,Jeonju,2019,24.4
Jeollabuk-do,Jeonju,2020,23.2
Jeollanam-do,Yeosu,2015,21.4
Jeollanam-do,Yeosu,2016,21.7
Jeollanam-do,Yeosu,2017,19.4
Jeollanam-do,Yeosu,2018,17.9
Jeollanam-do,Yeosu,2019,17.6
Jeollanam-do,Yeosu,2020,14.6
Gyeongsangbuk-do,Pohang,2015,0
Gyeongsangbuk-do,Pohang,2016,20.4
Gyeongsangbuk-do,Pohang,2017,21.4
Gyeongsangbuk-do,Pohang,2018,23.9
Gyeongsangbuk-do,Pohang,2019,19.6
Gyeongsangbuk-do,Pohang,2020,17.2
Gyeongsangnam-do,Changwon,2015,26.2
Gyeongsangnam-do,Changwon,2016,25.6
Gyeongsangnam-do,Changwon,2017,24.5
Gyeongsangnam-do,Changwon,2018,21
Gyeongsangnam-do,Changwon,2019,19.2
Gyeongsangnam-do,Changwon,2020,17.6
Jeju-do,Jeju,2015,23.2
Jeju-do,Jeju,2016,24.1
Jeju-do,Jeju,2017,23.1
Jeju-do,Jeju,2018,19.3
Jeju-do,Jeju,2019,21.3
Jeju-do,Jeju,2020,18.8
