Sex,Age_group,Group,Year,Emprate
Men,20-29,Men 20-29,2010,58.5
Men,20-29,Men 20-29,2011,58.1
Men,20-29,Men 20-29,2012,57.5
Men,20-29,Men 20-29,2013,55.8
Men,20-29,Men 20-29,2014,55.9
Men,20-29,Men 20-29,2015,56.3
Men,20-29,Men 20-29,2016,56.7
Men,20-29,Men 20-29,2017,55.6
Men,20-29,Men 20-29,2018,56.1
Men,20-29,Men 20-29,2019,57.3
Men,20-29,Men 20-29,2020,54.7
Men,30-39,Men 30-39,2010,89.4
Men,30-39,Men 30-39,2011,89.8
Men,30-39,Men 30-39,2012,90.3
Men,30-39,Men 30-39,2013,90.2
Men,30-39,Men 30-39,2014,90.9
Men,30-39,Men 30-39,2015,90.9
Men,30-39,Men 30-39,2016,90.2
Men,30-39,Men 30-39,2017,90.2
Men,30-39,Men 30-39,2018,89.7
Men,30-39,Men 30-39,2019,89
Men,30-39,Men 30-39,2020,88.1
Men,40-49,Men 40-49,2010,91.2
Men,40-49,Men 40-49,2011,91.6
Men,40-49,Men 40-49,2012,91.7
Men,40-49,Men 40-49,2013,92
Men,40-49,Men 40-49,2014,92.7
Men,40-49,Men 40-49,2015,92.2
Men,40-49,Men 40-49,2016,92.4
Men,40-49,Men 40-49,2017,92.6
Men,40-49,Men 40-49,2018,91.9
Men,40-49,Men 40-49,2019,91.1
Men,40-49,Men 40-49,2020,89.9
Men,20-60+,Men 20-60+,2010,70.3
Men,20-60+,Men 20-60+,2011,70.7
Men,20-60+,Men 20-60+,2012,71.1
Men,20-60+,Men 20-60+,2013,71.1
Men,20-60+,Men 20-60+,2014,71.7
Men,20-60+,Men 20-60+,2015,71.4
Men,20-60+,Men 20-60+,2016,71.2
Men,20-60+,Men 20-60+,2017,71.2
Men,20-60+,Men 20-60+,2018,70.8
Men,20-60+,Men 20-60+,2019,70.7
Men,20-60+,Men 20-60+,2020,69.8
Women,20-29,Women 20-29,2010,58.4
Women,20-29,Women 20-29,2011,58.6
Women,20-29,Women 20-29,2012,58.8
Women,20-29,Women 20-29,2013,57.8
Women,20-29,Women 20-29,2014,58.8
Women,20-29,Women 20-29,2015,59.4
Women,20-29,Women 20-29,2016,59.6
Women,20-29,Women 20-29,2017,59.4
Women,20-29,Women 20-29,2018,59.6
Women,20-29,Women 20-29,2019,59
Women,20-29,Women 20-29,2020,56.8
Women,30-39,Women 30-39,2010,53.8
Women,30-39,Women 30-39,2011,53.8
Women,30-39,Women 30-39,2012,54.6
Women,30-39,Women 30-39,2013,55.5
Women,30-39,Women 30-39,2014,56.3
Women,30-39,Women 30-39,2015,56.9
Women,30-39,Women 30-39,2016,58.2
Women,30-39,Women 30-39,2017,59.4
Women,30-39,Women 30-39,2018,60.7
Women,30-39,Women 30-39,2019,62
Women,30-39,Women 30-39,2020,61.3
Women,40-49,Women 40-49,2010,64.2
Women,40-49,Women 40-49,2011,64.9
Women,40-49,Women 40-49,2012,64.6
Women,40-49,Women 40-49,2013,64.6
Women,40-49,Women 40-49,2014,65.1
Women,40-49,Women 40-49,2015,65.7
Women,40-49,Women 40-49,2016,65.8
Women,40-49,Women 40-49,2017,66
Women,40-49,Women 40-49,2018,65.7
Women,40-49,Women 40-49,2019,65.2
Women,40-49,Women 40-49,2020,63.8
Women,20-60+,Women 20-60+,2010,47.9
Women,20-60+,Women 20-60+,2011,48.3
Women,20-60+,Women 20-60+,2012,48.6
Women,20-60+,Women 20-60+,2013,48.9
Women,20-60+,Women 20-60+,2014,49.7
Women,20-60+,Women 20-60+,2015,50.1
Women,20-60+,Women 20-60+,2016,50.3
Women,20-60+,Women 20-60+,2017,50.8
Women,20-60+,Women 20-60+,2018,50.9
Women,20-60+,Women 20-60+,2019,51.6
Women,20-60+,Women 20-60+,2020,50.7
