AgeGroup,Year,Ratio
15-54,2014,22
15-54,2015,22
15-54,2016,21
15-54,2017,20
15-54,2018,21
15-54,2019,19
15-54,2020,18
15-29,2014,36
15-29,2015,35
15-29,2016,33
15-29,2017,31
15-29,2018,31
15-29,2019,28
15-29,2020,27
30-39,2014,37
30-39,2015,38
30-39,2016,36
30-39,2017,34
30-39,2018,33
30-39,2019,31
30-39,2020,28
40-49,2014,16
40-49,2015,16
40-49,2016,15
40-49,2017,15
40-49,2018,17
40-49,2019,17
40-49,2020,16
50-54,2014,9
50-54,2015,8
50-54,2016,7
50-54,2017,7
50-54,2018,8
50-54,2019,7
50-54,2020,7
