Country,Year,Gap_percent,Rate
Cananda,2010,19.0,81.0 
Cananda,2011,19.2,80.8 
Cananda,2012,19.5,80.5 
Cananda,2013,19.3,80.7 
Cananda,2014,19.2,80.8 
Cananda,2015,18.6,81.4 
Cananda,2016,18.2,81.8 
Cananda,2017,18.2,81.8 
Cananda,2018,18.5,81.5 
Cananda,2019,17.6,82.4 
Germany,2010,16.7,83.3 
Germany,2011,16.9,83.1 
Germany,2012,15.6,84.4 
Germany,2013,14.1,85.9 
Germany,2014,17.2,82.8 
Germany,2015,15.8,84.2 
Germany,2016,15.5,84.5 
Germany,2017,16.2,83.8 
Germany,2018,15.3,84.7 
Japan,2010,28.7,71.3 
Japan,2011,27.4,72.6 
Japan,2012,26.5,73.5 
Japan,2013,26.6,73.4 
Japan,2014,25.9,74.1 
Japan,2015,25.7,74.3 
Japan,2016,24.6,75.4 
Japan,2017,24.5,75.5 
Japan,2018,23.5,76.5 
Japan,2019,23.5,76.5 
South Korea,2010,39.6,60.4 
South Korea,2011,36.6,63.4 
South Korea,2012,36.3,63.7 
South Korea,2013,36.6,63.4 
South Korea,2014,36.7,63.3 
South Korea,2015,37.2,62.8 
South Korea,2016,36.7,63.3 
South Korea,2017,34.6,65.4 
South Korea,2018,34.1,65.9 
South Korea,2019,32.5,67.5 
Mexico,2010,11.6,88.4 
Mexico,2011,10.0,90.0 
Mexico,2012,13.6,86.4 
Mexico,2013,15.4,84.6 
Mexico,2014,18.3,81.7 
Mexico,2015,16.7,83.3 
Mexico,2016,16.5,83.5 
Mexico,2017,11.1,88.9 
Mexico,2018,14.0,86.0 
Mexico,2019,18.8,81.3 
New Zealand,2010,7.0,93.0 
New Zealand,2011,4.5,95.5 
New Zealand,2012,5.9,94.1 
New Zealand,2013,6.6,93.4 
New Zealand,2014,6.1,93.9 
New Zealand,2015,7.9,92.1 
New Zealand,2016,7.8,92.2 
New Zealand,2017,7.2,92.8 
New Zealand,2018,7.9,92.1 
New Zealand,2019,6.5,93.5 
Norway,2010,8.4,91.6 
Norway,2011,8.1,91.9 
Norway,2012,6.7,93.3 
Norway,2013,7.3,92.7 
Norway,2014,6.6,93.4 
Norway,2015,7.5,92.5 
Norway,2016,6.8,93.2 
Norway,2017,6.4,93.6 
Norway,2018,5.8,94.2 
Norway,2019,5.0,95.0 
Sweden,2010,9.4,90.6 
Sweden,2011,9.2,90.8 
Sweden,2012,9.3,90.7 
Sweden,2013,9.4,90.6 
Sweden,2014,9.2,90.8 
Sweden,2015,8.3,91.7 
Sweden,2016,8.2,91.8 
Sweden,2017,7.3,92.7 
Sweden,2018,7.1,92.9 
Sweden,2019,7.6,92.4 
UK,2010,19.2,80.8 
UK,2011,18.2,81.8 
UK,2012,17.8,82.2 
UK,2013,17.5,82.5 
UK,2014,17.4,82.6 
UK,2015,17.1,82.9 
UK,2016,16.8,83.2 
UK,2017,16.5,83.5 
UK,2018,16.3,83.7 
UK,2019,16.0,84.0 
USA,2010,18.8,81.2 
USA,2011,17.8,82.2 
USA,2012,19.1,80.9 
USA,2013,17.9,82.1 
USA,2014,17.5,82.5 
USA,2015,18.9,81.1 
USA,2016,18.1,81.9 
USA,2017,18.2,81.8 
USA,2018,18.9,81.1 
USA,2019,18.5,81.5 
OECD,2010,13.9,86.1 
OECD,2011,13.6,86.4 
OECD,2012,13.8,86.2 
OECD,2013,13.7,86.3 
OECD,2014,13.6,86.4 
OECD,2015,13.8,86.2 
OECD,2016,13.3,86.7 
OECD,2017,12.9,87.1 
OECD,2018,12.8,87.2 
